Payment Method,Fuel Type,Charge Type,Allowance,Cap Period,Start Date,End Date,Cost Value
All,Electricity - Multi-Register ,SC,WHD,July 2024 - September 2024,2024-07-01,2024-09-01,10.909265371253545
All,Electricity - Multi-Register ,UR,WHD (unit rate),July 2024 - September 2024,2024-07-01,2024-09-01,0.0
All,Electricity - Multi-Register ,UR,AAHEDC,July 2024 - September 2024,2024-07-01,2024-09-01,0.4551192437813739
All,Electricity - Multi-Register ,UR,NCC,July 2024 - September 2024,2024-07-01,2024-09-01,0.0
All,Electricity - Multi-Register ,UR,nRAB,July 2024 - September 2024,2024-07-01,2024-09-01,0.0
All,Gas,UR,ECO,July 2024 - September 2024,2024-07-01,2024-09-01,2.9941074517373605
All,Gas,SC,WHD,July 2024 - September 2024,2024-07-01,2024-09-01,10.909265371253545
All,Gas,UR,WHD (unit rate),July 2024 - September 2024,2024-07-01,2024-09-01,0.0
All,Gas,SC,GGL,July 2024 - September 2024,2024-07-01,2024-09-01,0.38325
All,Electricity - Single-Rate ,UR,RO,October 2024 - December 2024,2024-10-01,2024-12-01,31.78243
All,Electricity - Single-Rate ,UR,FiT,October 2024 - December 2024,2024-10-01,2024-12-01,7.31667345560668
All,Electricity - Single-Rate ,UR,ECO,October 2024 - December 2024,2024-10-01,2024-12-01,8.68652948434914
All,Electricity - Single-Rate ,SC,WHD,October 2024 - December 2024,2024-10-01,2024-12-01,10.909265371253545
All,Electricity - Single-Rate ,UR,WHD (unit rate),October 2024 - December 2024,2024-10-01,2024-12-01,0.0
All,Electricity - Single-Rate ,UR,AAHEDC,October 2024 - December 2024,2024-10-01,2024-12-01,0.42145
All,Electricity - Single-Rate ,UR,NCC,October 2024 - December 2024,2024-10-01,2024-12-01,0.0
All,Electricity - Single-Rate ,UR,nRAB,October 2024 - December 2024,2024-10-01,2024-12-01,0.0
All,Electricity - Multi-Register ,UR,RO,October 2024 - December 2024,2024-10-01,2024-12-01,31.78243
All,Electricity - Multi-Register ,UR,FiT,October 2024 - December 2024,2024-10-01,2024-12-01,7.31667345560668
All,Electricity - Multi-Register ,UR,ECO,October 2024 - December 2024,2024-10-01,2024-12-01,8.68652948434914
All,Electricity - Multi-Register ,SC,WHD,October 2024 - December 2024,2024-10-01,2024-12-01,10.909265371253545
All,Electricity - Multi-Register ,UR,WHD (unit rate),October 2024 - December 2024,2024-10-01,2024-12-01,0.0
All,Electricity - Multi-Register ,UR,AAHEDC,October 2024 - December 2024,2024-10-01,2024-12-01,0.42145
All,Electricity - Multi-Register ,UR,NCC,October 2024 - December 2024,2024-10-01,2024-12-01,0.0
All,Electricity - Multi-Register ,UR,nRAB,October 2024 - December 2024,2024-10-01,2024-12-01,0.0
All,Gas,UR,ECO,October 2024 - December 2024,2024-10-01,2024-12-01,2.989702112626663
All,Gas,SC,WHD,October 2024 - December 2024,2024-10-01,2024-12-01,10.909265371253545
All,Gas,UR,WHD (unit rate),October 2024 - December 2024,2024-10-01,2024-12-01,0.0
All,Gas,SC,GGL,October 2024 - December 2024,2024-10-01,2024-12-01,0.38325
All,Electricity - Single-Rate ,UR,RO,January 2025 - March 2025,2025-01-01,2025-03-01,31.78243
All,Electricity - Single-Rate ,UR,FiT,January 2025 - March 2025,2025-01-01,2025-03-01,7.31667345560668
All,Electricity - Single-Rate ,UR,ECO,January 2025 - March 2025,2025-01-01,2025-03-01,8.68652948434914
